Date : 2025-08-02 17:59:27
Directory : c:\Users\dell\OneDrive\Documents\vape\site-vape-v2
Total : 135 files,  30395 codes, 838 comments, 1817 blanks, all 33050 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\components\ProtectedRoute.tsx          | TypeScript JSX     |         14 |          0 |          6 |         20 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\components\Search.tsx                  | TypeScript JSX     |         93 |          0 |         10 |        103 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\components\SmokeLoadingScreen.tsx      | TypeScript JSX     |        112 |         26 |         21 |        159 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\components\ThemeLanguageToggle.tsx     | TypeScript JSX     |         53 |          4 |          6 |         63 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\components\VapeButton.tsx              | TypeScript JSX     |         59 |          0 |          5 |         64 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\components\VapeIcon.tsx                | TypeScript JSX     |         32 |          4 |          6 |         42 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\contexts\AuthContext.tsx               | TypeScript JSX     |         89 |          8 |         15 |        112 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\contexts\CartContext.tsx               | TypeScript JSX     |         88 |          0 |         15 |        103 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\contexts\FavoritesContext.tsx          | TypeScript JSX     |         53 |          0 |         10 |         63 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\contexts\LanguageContext.tsx           | TypeScript JSX     |        985 |         58 |         69 |      1,112 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\contexts\ThemeContext.tsx              | TypeScript JSX     |         44 |          2 |         11 |         57 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\data\fruitList.ts                      | TypeScript         |          3 |          0 |          0 |          3 |
