"filename", "language", "JavaScript", "Markdown", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "Properties", "PostCSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\Home.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 10, 14, 148
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\Liquids.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 578, 0, 0, 0, 0, 31, 55, 664
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\MixLiquids.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 669, 0, 0, 0, 0, 19, 51, 739
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\Products.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 349, 0, 0, 0, 0, 15, 23, 387
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\StoreDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 7, 85
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\StoreProducts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 3, 9, 110
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\Stores.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 249, 0, 0, 0, 0, 7, 9, 265
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\admin\AdminReg.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 6, 72
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\admin\Dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 5, 13, 129
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\admin\Liquids.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 544, 0, 0, 0, 0, 24, 24, 592
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\admin\Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 10, 155
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\admin\Orders.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 273, 0, 0, 0, 0, 3, 14, 290
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\admin\Products.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 492, 0, 0, 0, 0, 7, 22, 521
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\admin\Settings.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 260, 0, 0, 0, 0, 5, 20, 285
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\admin\Stores.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 266, 0, 0, 0, 0, 2, 15, 283
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\admin\Translations.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 312, 0, 0, 0, 0, 3, 18, 333
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\admin\Users.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 199, 0, 0, 0, 0, 2, 11, 212
